,2019/05/16 14:14:14.761,0,7,0.0,3
30740000001D884000000003,2019/05/16 14:14:14.771,0,1,1937.8,3
30740000001D88400000000C,2019/05/16 14:14:14.771,0,1,2499.0,3
30740000001D88400000000B,2019/05/16 14:14:14.772,0,1,2057.9,3
30740000001D884000000014,2019/05/16 14:14:14.772,0,1,2470.0,3
30740000001D884000000013,2019/05/16 14:14:14.772,0,1,3241.5,3
30740000001D884000000009,2019/05/16 14:14:14.772,0,1,1730.3,3
30740000001D884000000011,2019/05/16 14:14:14.772,0,1,3009.4,3
30740000001D884000000010,2019/05/16 14:14:14.772,0,1,2746.8,3
30740000001D884000000004,2019/05/16 14:14:14.772,0,1,3040.4,3
30740000001D884000000012,2019/05/16 14:14:14.794,0,1,2867.3,3
30740000001D884000000007,2019/05/16 14:14:14.794,0,1,2966.1,3
30740000001D88400000000A,2019/05/16 14:14:14.794,0,1,1284.8,3
30740000001D884000000003,2019/05/16 14:14:14.909,0,1,1868.6,3
30740000001D88400000000C,2019/05/16 14:14:14.910,0,1,2460.7,3
30740000001D88400000000B,2019/05/16 14:14:14.910,0,1,2131.8,3
30740000001D884000000014,2019/05/16 14:14:14.910,0,1,2564.4,3
30740000001D884000000012,2019/05/16 14:14:14.910,0,1,2897.1,3
30740000001D884000000011,2019/05/16 14:14:14.910,0,1,2858.6,3
30740000001D884000000010,2019/05/16 14:14:14.910,0,1,2650.4,3
30740000001D884000000007,2019/05/16 14:14:14.911,0,1,3295.4,3
30740000001D884000000004,2019/05/16 14:14:14.911,0,1,3056.0,3
30740000001D884000000013,2019/05/16 14:14:14.933,0,1,3252.9,3
30740000001D884000000009,2019/05/16 14:14:14.933,0,1,1605.7,3
30740000001D88400000000A,2019/05/16 14:14:14.933,0,1,1291.5,3
30740000001D884000000013,2019/05/16 14:14:15.061,0,1,3375.8,3
30740000001D884000000012,2019/05/16 14:14:15.061,0,1,3378.5,3
30740000001D884000000011,2019/05/16 14:14:15.061,0,1,2993.3,3
30740000001D884000000009,2019/05/16 14:14:15.061,0,1,2254.6,3
30740000001D88400000000C,2019/05/16 14:14:15.061,0,1,2824.5,3
30740000001D884000000007,2019/05/16 14:14:15.061,0,1,2869.2,3
30740000001D88400000000A,2019/05/16 14:14:15.062,0,1,1461.3,3
30740000001D884000000004,2019/05/16 14:14:15.062,0,1,3310.5,3
30740000001D884000000010,2019/05/16 14:14:15.072,0,1,2691.1,3
30740000001D884000000014,2019/05/16 14:14:15.093,0,1,2391.2,3
30740000001D88400000000B,2019/05/16 14:14:15.093,0,1,2043.3,3
30740000001D884000000003,2019/05/16 14:14:15.093,0,1,2154.6,3
30740000001D884000000003,2019/05/16 14:14:15.220,0,1,2154.2,3
30740000001D88400000000C,2019/05/16 14:14:15.220,0,1,2819.6,3
30740000001D884000000014,2019/05/16 14:14:15.220,0,1,2399.3,3
30740000001D884000000013,2019/05/16 14:14:15.221,0,1,3273.9,3
30740000001D884000000012,2019/05/16 14:14:15.221,0,1,3376.3,3
30740000001D884000000009,2019/05/16 14:14:15.221,0,1,2174.1,3
30740000001D884000000011,2019/05/16 14:14:15.221,0,1,2951.9,3
30740000001D884000000010,2019/05/16 14:14:15.221,0,1,2666.0,3
30740000001D884000000004,2019/05/16 14:14:15.221,0,1,3198.3,3
30740000001D88400000000B,2019/05/16 14:14:15.263,0,1,1949.2,3
30740000001D884000000007,2019/05/16 14:14:15.263,0,1,2932.0,3
30740000001D88400000000A,2019/05/16 14:14:15.263,0,1,1309.7,3
30740000001D884000000003,2019/05/16 14:14:15.368,0,1,2129.3,3
30740000001D88400000000C,2019/05/16 14:14:15.368,0,1,2814.0,3
30740000001D88400000000A,2019/05/16 14:14:15.368,0,1,1330.6,3
30740000001D884000000014,2019/05/16 14:14:15.369,0,1,2602.5,3
30740000001D884000000012,2019/05/16 14:14:15.369,0,1,3262.6,3
30740000001D884000000009,2019/05/16 14:14:15.369,0,1,2135.4,3
30740000001D884000000011,2019/05/16 14:14:15.369,0,1,3251.2,3
30740000001D884000000007,2019/05/16 14:14:15.369,0,1,3377.6,3
30740000001D884000000004,2019/05/16 14:14:15.369,0,1,3071.2,3
30740000001D884000000013,2019/05/16 14:14:15.390,0,1,3505.3,3
30740000001D884000000010,2019/05/16 14:14:15.390,0,1,2595.8,3
30740000001D88400000000B,2019/05/16 14:14:15.390,0,1,2023.9,3
30740000001D884000000014,2019/05/16 14:14:15.524,0,1,2595.9,3
30740000001D884000000012,2019/05/16 14:14:15.524,0,1,3175.0,3
30740000001D884000000009,2019/05/16 14:14:15.524,0,1,2093.8,3
30740000001D884000000010,2019/05/16 14:14:15.525,0,1,2691.0,3
30740000001D88400000000C,2019/05/16 14:14:15.525,0,1,2781.8,3
30740000001D884000000007,2019/05/16 14:14:15.525,0,1,3406.6,3
30740000001D88400000000B,2019/05/16 14:14:15.525,0,1,2105.0,3
30740000001D884000000004,2019/05/16 14:14:15.525,0,1,3336.7,3
30740000001D884000000013,2019/05/16 14:14:15.525,0,1,3495.1,3
30740000001D884000000011,2019/05/16 14:14:15.546,0,1,3180.4,3
30740000001D88400000000A,2019/05/16 14:14:15.546,0,1,1339.0,3
30740000001D884000000003,2019/05/16 14:14:15.546,0,1,2220.1,3
30740000001D88400000000C,2019/05/16 14:14:15.673,0,1,2583.6,3
30740000001D88400000000B,2019/05/16 14:14:15.673,0,1,2053.0,3
30740000001D884000000014,2019/05/16 14:14:15.674,0,1,2574.9,3
