,2019/05/16 14:16:32.593,0,7,0.0,3
30740000001D884000000013,2019/05/16 14:16:32.603,0,1,2563.8,3
30740000001D884000000012,2019/05/16 14:16:32.603,0,1,1960.6,3
30740000001D884000000011,2019/05/16 14:16:32.603,0,1,1860.8,3
30740000001D884000000009,2019/05/16 14:16:32.603,1,1,2134.5,3
30740000001D88400000000B,2019/05/16 14:16:32.603,1,1,1671.4,3
30740000001D884000000007,2019/05/16 14:16:32.603,0,1,2535.3,3
30740000001D88400000000A,2019/05/16 14:16:32.603,1,1,2111.7,3
30740000001D884000000003,2019/05/16 14:16:32.603,1,1,2067.5,3
30740000001D884000000013,2019/05/16 14:16:32.731,0,1,2559.9,3
30740000001D884000000012,2019/05/16 14:16:32.732,0,1,1518.1,3
30740000001D884000000011,2019/05/16 14:16:32.732,0,1,1646.0,3
30740000001D884000000009,2019/05/16 14:16:32.732,1,1,1996.6,3
30740000001D88400000000B,2019/05/16 14:16:32.732,1,1,1928.1,3
30740000001D884000000007,2019/05/16 14:16:32.732,0,1,2346.1,3
30740000001D88400000000A,2019/05/16 14:16:32.732,1,1,1975.2,3
30740000001D884000000003,2019/05/16 14:16:32.732,1,1,2065.1,3
30740000001D884000000013,2019/05/16 14:16:32.868,0,1,2563.3,3
30740000001D884000000012,2019/05/16 14:16:32.868,0,1,1494.5,3
30740000001D884000000011,2019/05/16 14:16:32.868,0,1,1640.5,3
30740000001D884000000009,2019/05/16 14:16:32.868,1,1,1909.7,3
30740000001D88400000000B,2019/05/16 14:16:32.868,1,1,1944.1,3
30740000001D884000000007,2019/05/16 14:16:32.868,0,1,2508.6,3
30740000001D88400000000A,2019/05/16 14:16:32.869,1,1,2099.7,3
30740000001D884000000003,2019/05/16 14:16:32.869,1,1,1860.8,3
30740000001D884000000013,2019/05/16 14:16:33.038,0,1,2427.9,3
30740000001D884000000012,2019/05/16 14:16:33.038,0,1,1572.3,3
30740000001D884000000011,2019/05/16 14:16:33.038,0,1,1727.8,3
30740000001D884000000009,2019/05/16 14:16:33.038,1,1,2022.2,3
30740000001D88400000000B,2019/05/16 14:16:33.039,1,1,1814.5,3
