,2019/05/16 14:51:36.308,0,7,0.0,4
30740000001D884000000013,2019/05/16 14:51:36.309,0,1,1672.8,4
30740000001D884000000012,2019/05/16 14:51:36.309,0,1,1889.3,4
30740000001D884000000010,2019/05/16 14:51:36.309,1,1,3353.3,4
30740000001D884000000009,2019/05/16 14:51:36.309,1,1,3372.5,4
30740000001D88400000000C,2019/05/16 14:51:36.310,1,1,2436.9,4
30740000001D88400000000A,2019/05/16 14:51:36.310,0,1,1390.4,4
30740000001D884000000004,2019/05/16 14:51:36.310,0,1,1540.0,4
30740000001D884000000003,2019/05/16 14:51:36.310,1,1,1752.4,4
30740000001D88400000000B,2019/05/16 14:51:36.331,1,1,3729.3,4
30740000001D884000000013,2019/05/16 14:51:36.460,0,1,1674.4,4
30740000001D884000000012,2019/05/16 14:51:36.460,0,1,1840.6,4
30740000001D884000000010,2019/05/16 14:51:36.460,1,1,3230.0,4
30740000001D88400000000C,2019/05/16 14:51:36.460,1,1,2609.5,4
30740000001D88400000000B,2019/05/16 14:51:36.460,1,1,3876.2,4
30740000001D88400000000A,2019/05/16 14:51:36.460,0,1,1425.5,4
30740000001D884000000004,2019/05/16 14:51:36.460,0,1,1514.4,4
30740000001D884000000003,2019/05/16 14:51:36.460,1,1,1726.0,4
30740000001D884000000009,2019/05/16 14:51:36.461,1,1,3404.9,4
30740000001D884000000013,2019/05/16 14:51:36.618,0,1,1781.1,4
30740000001D884000000012,2019/05/16 14:51:36.618,0,1,1950.9,4
30740000001D884000000009,2019/05/16 14:51:36.618,1,1,2910.9,4
30740000001D88400000000C,2019/05/16 14:51:36.618,1,1,2404.6,4
30740000001D88400000000B,2019/05/16 14:51:36.618,1,1,3693.1,4
30740000001D88400000000A,2019/05/16 14:51:36.618,0,1,1501.0,4
30740000001D884000000004,2019/05/16 14:51:36.618,0,1,1713.3,4
30740000001D884000000003,2019/05/16 14:51:36.618,1,1,1790.0,4
30740000001D884000000010,2019/05/16 14:51:36.629,1,1,3325.7,4
30740000001D884000000013,2019/05/16 14:51:36.766,0,1,1752.7,4
30740000001D884000000012,2019/05/16 14:51:36.766,0,1,2031.1,4
30740000001D884000000010,2019/05/16 14:51:36.766,1,1,3577.1,4
30740000001D88400000000C,2019/05/16 14:51:36.766,1,1,2371.2,4
30740000001D88400000000B,2019/05/16 14:51:36.766,1,1,3849.6,4
30740000001D88400000000A,2019/05/16 14:51:36.766,0,1,1541.2,4
30740000001D884000000004,2019/05/16 14:51:36.767,0,1,1608.0,4
30740000001D884000000003,2019/05/16 14:51:36.767,1,1,1871.8,4
30740000001D884000000009,2019/05/16 14:51:36.767,1,1,3126.5,4
30740000001D884000000013,2019/05/16 14:51:36.924,0,1,1679.7,4
30740000001D884000000012,2019/05/16 14:51:36.924,0,1,2088.9,4
30740000001D884000000009,2019/05/16 14:51:36.924,1,1,2791.6,4
30740000001D884000000010,2019/05/16 14:51:36.924,1,1,3477.8,4
30740000001D88400000000B,2019/05/16 14:51:36.924,1,1,3718.6,4
30740000001D88400000000A,2019/05/16 14:51:36.924,0,1,1515.0,4
30740000001D884000000004,2019/05/16 14:51:36.924,0,1,1774.1,4
30740000001D884000000003,2019/05/16 14:51:36.924,1,1,1553.8,4
