,2019/05/16 14:45:16.086,0,7,0.0,2
30740000001D884000000012,2019/05/16 14:45:16.087,1,1,2094.5,2
30740000001D88400000000C,2019/05/16 14:45:16.087,0,1,1829.7,2
30740000001D884000000007,2019/05/16 14:45:16.087,1,1,3200.0,2
30740000001D884000000012,2019/05/16 14:45:16.170,1,1,1979.3,2
30740000001D88400000000C,2019/05/16 14:45:16.170,0,1,1910.8,2
30740000001D884000000007,2019/05/16 14:45:16.170,1,1,3272.1,2
30740000001D884000000012,2019/05/16 14:45:16.264,1,1,2006.3,2
30740000001D88400000000C,2019/05/16 14:45:16.264,0,1,1887.8,2
30740000001D884000000007,2019/05/16 14:45:16.264,1,1,3374.0,2
30740000001D884000000010,2019/05/16 14:45:16.349,1,1,1913.2,2
30740000001D88400000000C,2019/05/16 14:45:16.349,0,1,1819.5,2
30740000001D884000000007,2019/05/16 14:45:16.349,1,1,3314.9,2
30740000001D884000000010,2019/05/16 14:45:16.432,1,1,1990.0,2
30740000001D88400000000C,2019/05/16 14:45:16.432,0,1,1740.3,2
30740000001D884000000007,2019/05/16 14:45:16.432,1,1,3365.6,2
30740000001D884000000010,2019/05/16 14:45:16.507,1,1,1921.4,2
30740000001D88400000000C,2019/05/16 14:45:16.507,0,1,1783.3,2
30740000001D884000000007,2019/05/16 14:45:16.507,1,1,3233.3,2
30740000001D884000000010,2019/05/16 14:45:16.592,1,1,1845.9,2
30740000001D88400000000C,2019/05/16 14:45:16.592,0,1,1935.8,2
30740000001D884000000007,2019/05/16 14:45:16.592,1,1,3261.2,2
30740000001D88400000000C,2019/05/16 14:45:16.657,0,1,1769.8,2
30740000001D884000000007,2019/05/16 14:45:16.657,1,1,3303.2,2
30740000001D88400000000C,2019/05/16 14:45:16.709,0,1,1870.7,2
30740000001D884000000007,2019/05/16 14:45:16.709,1,1,3225.5,2
30740000001D88400000000C,2019/05/16 14:45:16.772,0,1,1832.7,2
30740000001D884000000007,2019/05/16 14:45:16.772,1,1,3331.1,2
30740000001D88400000000C,2019/05/16 14:45:16.836,0,1,1757.4,2
30740000001D884000000007,2019/05/16 14:45:16.836,1,1,3471.2,2
30740000001D884000000012,2019/05/16 14:45:16.930,1,1,2251.3,2
30740000001D88400000000C,2019/05/16 14:45:16.930,0,1,1803.9,2
30740000001D884000000007,2019/05/16 14:45:16.930,1,1,3471.9,2
30740000001D884000000012,2019/05/16 14:45:17.005,1,1,2375.2,2
30740000001D88400000000C,2019/05/16 14:45:17.005,0,1,1666.8,2
30740000001D884000000007,2019/05/16 14:45:17.005,1,1,3634.3,2
30740000001D884000000012,2019/05/16 14:45:17.090,1,1,3037.6,2
30740000001D88400000000C,2019/05/16 14:45:17.090,0,1,1705.7,2
30740000001D884000000007,2019/05/16 14:45:17.090,1,1,4071.6,2
30740000001D884000000003,2019/05/16 14:45:17.090,1,1,2157.5,2
30740000001D884000000012,2019/05/16 14:45:17.174,1,1,3233.0,2
30740000001D884000000007,2019/05/16 14:45:17.174,1,1,4271.8,2
30740000001D884000000003,2019/05/16 14:45:17.174,1,1,2701.1,2
30740000001D884000000012,2019/05/16 14:45:17.257,1,1,3018.3,2
30740000001D884000000007,2019/05/16 14:45:17.257,1,1,3583.3,2
30740000001D884000000003,2019/05/16 14:45:17.257,1,1,3041.8,2
30740000001D884000000012,2019/05/16 14:45:17.342,1,1,2442.1,2
30740000001D884000000007,2019/05/16 14:45:17.342,1,1,3091.8,2
30740000001D884000000003,2019/05/16 14:45:17.342,1,1,2693.6,2
30740000001D884000000007,2019/05/16 14:45:17.405,1,1,2846.0,2
30740000001D884000000003,2019/05/16 14:45:17.405,1,1,2002.3,2
30740000001D884000000014,2019/05/16 14:45:17.520,1,1,2365.0,2
30740000001D884000000013,2019/05/16 14:45:17.520,1,1,1353.4,2
30740000001D884000000011,2019/05/16 14:45:17.520,0,1,2023.1,2
30740000001D88400000000C,2019/05/16 14:45:17.520,1,1,1992.7,2
30740000001D884000000007,2019/05/16 14:45:17.520,1,1,1964.7,2
30740000001D884000000014,2019/05/16 14:45:17.645,1,1,3180.9,2
