,2019/05/16 14:25:55.567,0,7,0.0,3
30740000001D884000000003,2019/05/16 14:25:55.568,0,1,4379.0,3
30740000001D88400000000C,2019/05/16 14:25:55.568,0,1,3445.8,3
30740000001D88400000000B,2019/05/16 14:25:55.568,0,1,3795.9,3
30740000001D88400000000A,2019/05/16 14:25:55.568,0,1,4818.5,3
30740000001D884000000014,2019/05/16 14:25:55.568,0,1,3245.0,3
30740000001D884000000012,2019/05/16 14:25:55.568,0,1,3697.3,3
30740000001D884000000009,2019/05/16 14:25:55.568,0,1,3977.6,3
30740000001D884000000010,2019/05/16 14:25:55.568,0,1,2947.8,3
30740000001D884000000004,2019/05/16 14:25:55.568,0,1,3030.0,3
30740000001D884000000013,2019/05/16 14:25:55.612,1,1,1987.0,3
30740000001D884000000011,2019/05/16 14:25:55.612,0,1,1170.6,3
30740000001D884000000010,2019/05/16 14:25:55.612,0,1,2980.4,3
30740000001D884000000007,2019/05/16 14:25:55.612,0,1,2420.9,3
30740000001D884000000014,2019/05/16 14:25:55.745,0,1,3061.6,3
30740000001D884000000009,2019/05/16 14:25:55.745,0,1,3920.1,3
30740000001D88400000000C,2019/05/16 14:25:55.745,0,1,3497.2,3
30740000001D884000000007,2019/05/16 14:25:55.745,0,1,2525.6,3
30740000001D88400000000B,2019/05/16 14:25:55.745,0,1,4054.6,3
30740000001D88400000000A,2019/05/16 14:25:55.745,0,1,4424.7,3
30740000001D884000000004,2019/05/16 14:25:55.745,0,1,3220.6,3
30740000001D884000000003,2019/05/16 14:25:55.746,0,1,4819.5,3
30740000001D884000000012,2019/05/16 14:25:55.756,0,1,3428.8,3
30740000001D884000000013,2019/05/16 14:25:55.777,1,1,1929.6,3
30740000001D884000000011,2019/05/16 14:25:55.777,1,1,1872.6,3
30740000001D884000000010,2019/05/16 14:25:55.777,0,1,2893.2,3
30740000001D884000000014,2019/05/16 14:25:55.925,0,1,3158.5,3
30740000001D884000000010,2019/05/16 14:25:55.925,0,1,2765.3,3
30740000001D884000000009,2019/05/16 14:25:55.925,0,1,3941.0,3
30740000001D88400000000C,2019/05/16 14:25:55.925,0,1,3331.4,3
30740000001D88400000000B,2019/05/16 14:25:55.925,0,1,3952.0,3
30740000001D88400000000A,2019/05/16 14:25:55.925,0,1,4512.9,3
30740000001D884000000004,2019/05/16 14:25:55.926,0,1,3330.3,3
30740000001D884000000003,2019/05/16 14:25:55.926,0,1,4958.9,3
30740000001D884000000007,2019/05/16 14:25:55.936,0,1,2441.7,3
30740000001D884000000013,2019/05/16 14:25:55.957,1,1,1725.0,3
30740000001D884000000012,2019/05/16 14:25:55.957,0,1,3520.1,3
30740000001D884000000011,2019/05/16 14:25:55.957,1,1,1740.4,3
30740000001D884000000003,2019/05/16 14:25:56.116,0,1,4493.3,3
30740000001D88400000000C,2019/05/16 14:25:56.116,0,1,3357.6,3
30740000001D88400000000B,2019/05/16 14:25:56.116,0,1,3988.4,3
30740000001D88400000000A,2019/05/16 14:25:56.116,0,1,4650.7,3
30740000001D884000000014,2019/05/16 14:25:56.116,0,1,3297.7,3
30740000001D884000000012,2019/05/16 14:25:56.116,0,1,3940.8,3
30740000001D884000000009,2019/05/16 14:25:56.116,0,1,3771.9,3
30740000001D884000000007,2019/05/16 14:25:56.117,0,1,2507.1,3
30740000001D884000000004,2019/05/16 14:25:56.117,0,1,3360.0,3
30740000001D884000000013,2019/05/16 14:25:56.149,1,1,1945.1,3
30740000001D884000000011,2019/05/16 14:25:56.149,1,1,1777.3,3
30740000001D884000000010,2019/05/16 14:25:56.149,0,1,2996.6,3
30740000001D884000000014,2019/05/16 14:25:56.297,0,1,3021.3,3
30740000001D884000000012,2019/05/16 14:25:56.297,0,1,3782.9,3
30740000001D884000000009,2019/05/16 14:25:56.297,0,1,3773.1,3
30740000001D884000000010,2019/05/16 14:25:56.297,0,1,2831.4,3
30740000001D88400000000C,2019/05/16 14:25:56.298,0,1,3408.8,3
30740000001D88400000000B,2019/05/16 14:25:56.298,0,1,3779.6,3
