,2019/05/16 14:12:54.709,0,7,0.0,3
30740000001D884000000003,2019/05/16 14:12:54.710,1,1,4909.1,3
30740000001D88400000000C,2019/05/16 14:12:54.710,1,1,3703.5,3
30740000001D88400000000B,2019/05/16 14:12:54.710,1,1,2673.9,3
30740000001D884000000012,2019/05/16 14:12:54.710,1,1,5285.2,3
30740000001D884000000011,2019/05/16 14:12:54.711,1,1,2225.9,3
30740000001D884000000009,2019/05/16 14:12:54.711,1,1,3370.7,3
30740000001D884000000010,2019/05/16 14:12:54.711,0,1,1828.9,3
30740000001D884000000007,2019/05/16 14:12:54.711,1,1,2698.9,3
30740000001D884000000004,2019/05/16 14:12:54.711,1,1,3631.7,3
30740000001D884000000014,2019/05/16 14:12:54.731,1,1,1371.2,3
30740000001D884000000013,2019/05/16 14:12:54.731,1,2,1870.4,3
30740000001D884000000014,2019/05/16 14:12:54.940,1,1,1625.3,3
30740000001D884000000012,2019/05/16 14:12:54.940,1,1,5449.2,3
30740000001D884000000009,2019/05/16 14:12:54.941,1,1,3563.7,3
30740000001D884000000010,2019/05/16 14:12:54.941,0,1,1848.0,3
30740000001D88400000000C,2019/05/16 14:12:54.941,1,1,3859.4,3
30740000001D88400000000B,2019/05/16 14:12:54.941,1,1,2816.4,3
30740000001D884000000007,2019/05/16 14:12:54.941,1,1,2786.4,3
30740000001D884000000003,2019/05/16 14:12:54.941,1,1,5090.2,3
30740000001D884000000011,2019/05/16 14:12:54.942,1,1,2244.7,3
30740000001D884000000013,2019/05/16 14:12:54.963,1,1,1555.7,3
30740000001D88400000000A,2019/05/16 14:12:54.963,1,1,1627.8,3
30740000001D884000000004,2019/05/16 14:12:54.963,1,1,3603.3,3
30740000001D884000000014,2019/05/16 14:12:55.080,1,1,1475.4,3
30740000001D884000000012,2019/05/16 14:12:55.080,1,1,5411.6,3
30740000001D884000000009,2019/05/16 14:12:55.080,1,1,3648.9,3
30740000001D884000000010,2019/05/16 14:12:55.081,0,1,1753.6,3
30740000001D88400000000C,2019/05/16 14:12:55.081,1,1,3963.3,3
30740000001D884000000007,2019/05/16 14:12:55.081,1,1,2670.5,3
