,2019/05/16 14:16:50.325,0,7,0.0,3
30740000001D884000000013,2019/05/16 14:16:50.335,0,1,2577.0,3
30740000001D884000000012,2019/05/16 14:16:50.335,0,1,1840.0,3
30740000001D884000000011,2019/05/16 14:16:50.335,0,1,1667.1,3
30740000001D884000000009,2019/05/16 14:16:50.335,1,1,2211.1,3
30740000001D88400000000B,2019/05/16 14:16:50.336,1,1,1846.5,3
30740000001D884000000007,2019/05/16 14:16:50.336,0,1,2286.0,3
30740000001D88400000000A,2019/05/16 14:16:50.336,1,1,2157.2,3
30740000001D884000000003,2019/05/16 14:16:50.336,1,1,1992.9,3
30740000001D884000000013,2019/05/16 14:16:50.547,0,1,2564.7,3
30740000001D884000000012,2019/05/16 14:16:50.547,0,1,1821.9,3
30740000001D884000000011,2019/05/16 14:16:50.547,0,1,1850.5,3
30740000001D884000000009,2019/05/16 14:16:50.547,1,1,1965.2,3
30740000001D88400000000B,2019/05/16 14:16:50.547,1,1,1970.8,3
30740000001D884000000007,2019/05/16 14:16:50.547,0,1,2556.0,3
30740000001D88400000000A,2019/05/16 14:16:50.548,1,1,2083.9,3
30740000001D884000000003,2019/05/16 14:16:50.548,1,1,2000.1,3
30740000001D884000000013,2019/05/16 14:16:50.686,0,1,2418.5,3
30740000001D884000000012,2019/05/16 14:16:50.686,0,1,1686.6,3
30740000001D884000000011,2019/05/16 14:16:50.686,0,1,1723.4,3
30740000001D884000000009,2019/05/16 14:16:50.686,1,1,2008.8,3
30740000001D88400000000B,2019/05/16 14:16:50.686,1,1,1824.9,3
30740000001D884000000007,2019/05/16 14:16:50.686,0,1,2362.8,3
30740000001D88400000000A,2019/05/16 14:16:50.686,1,1,2103.9,3
30740000001D884000000003,2019/05/16 14:16:50.686,1,1,1923.9,3
30740000001D884000000013,2019/05/16 14:16:50.802,1,1,1448.2,3
30740000001D884000000012,2019/05/16 14:16:50.802,1,1,2450.8,3
30740000001D884000000009,2019/05/16 14:16:50.802,1,1,2008.4,3
30740000001D88400000000B,2019/05/16 14:16:50.802,1,1,1851.7,3
30740000001D884000000007,2019/05/16 14:16:50.802,1,1,1527.9,3
30740000001D88400000000A,2019/05/16 14:16:50.802,1,1,1936.1,3
30740000001D884000000003,2019/05/16 14:16:50.802,1,1,1909.6,3
30740000001D884000000013,2019/05/16 14:16:50.972,0,1,2338.4,3
30740000001D884000000012,2019/05/16 14:16:50.972,0,1,1827.8,3
30740000001D884000000011,2019/05/16 14:16:50.972,0,1,1748.2,3
30740000001D884000000009,2019/05/16 14:16:50.972,1,1,1926.6,3
30740000001D88400000000B,2019/05/16 14:16:50.972,1,1,1778.4,3
30740000001D884000000007,2019/05/16 14:16:50.972,0,1,2394.8,3
30740000001D88400000000A,2019/05/16 14:16:50.972,1,1,2028.3,3
30740000001D884000000003,2019/05/16 14:16:50.972,1,1,1954.3,3
