,2019/05/16 14:30:24.583,0,7,0.0,0
30740000001D884000000003,2019/05/16 14:30:24.593,0,1,2948.1,0
30740000001D88400000000C,2019/05/16 14:30:24.593,0,1,3005.5,0
30740000001D88400000000B,2019/05/16 14:30:24.593,1,1,1800.0,0
30740000001D88400000000A,2019/05/16 14:30:24.593,0,1,2020.0,0
30740000001D884000000014,2019/05/16 14:30:24.593,1,1,1517.7,0
30740000001D884000000011,2019/05/16 14:30:24.593,0,1,1727.1,0
30740000001D884000000010,2019/05/16 14:30:24.593,0,1,3561.0,0
30740000001D884000000007,2019/05/16 14:30:24.594,0,1,2531.5,0
30740000001D884000000004,2019/05/16 14:30:24.594,0,1,2835.9,0
30740000001D884000000003,2019/05/16 14:30:24.731,0,1,3246.0,0
30740000001D88400000000C,2019/05/16 14:30:24.731,0,1,2920.2,0
30740000001D88400000000B,2019/05/16 14:30:24.731,1,1,1732.5,0
30740000001D88400000000A,2019/05/16 14:30:24.731,0,1,2169.8,0
30740000001D884000000014,2019/05/16 14:30:24.731,1,1,1743.3,0
30740000001D884000000011,2019/05/16 14:30:24.731,0,1,1727.2,0
30740000001D884000000010,2019/05/16 14:30:24.731,0,1,3563.3,0
30740000001D884000000007,2019/05/16 14:30:24.731,0,1,2522.1,0
30740000001D884000000004,2019/05/16 14:30:24.731,0,1,2750.1,0
30740000001D884000000003,2019/05/16 14:30:24.888,0,1,2892.7,0
30740000001D88400000000C,2019/05/16 14:30:24.888,0,1,2859.5,0
30740000001D88400000000B,2019/05/16 14:30:24.888,1,1,1732.8,0
30740000001D88400000000A,2019/05/16 14:30:24.888,0,1,1684.9,0
30740000001D884000000014,2019/05/16 14:30:24.888,1,1,1474.6,0
30740000001D884000000011,2019/05/16 14:30:24.888,0,1,1487.5,0
30740000001D884000000010,2019/05/16 14:30:24.888,0,1,3387.6,0
30740000001D884000000007,2019/05/16 14:30:24.888,0,1,2353.1,0
30740000001D884000000004,2019/05/16 14:30:24.888,0,1,2713.4,0
30740000001D884000000011,2019/05/16 14:30:25.013,0,1,1705.6,0
30740000001D884000000010,2019/05/16 14:30:25.013,0,1,3360.0,0
30740000001D88400000000C,2019/05/16 14:30:25.013,0,1,2913.0,0
30740000001D88400000000B,2019/05/16 14:30:25.013,1,1,1749.8,0
30740000001D884000000007,2019/05/16 14:30:25.013,0,1,2330.6,0
30740000001D88400000000A,2019/05/16 14:30:25.013,0,1,1842.6,0
30740000001D884000000004,2019/05/16 14:30:25.013,0,1,2802.0,0
30740000001D884000000003,2019/05/16 14:30:25.013,0,1,3007.6,0
30740000001D884000000014,2019/05/16 14:30:25.014,1,1,1502.2,0
30740000001D884000000014,2019/05/16 14:30:25.172,1,1,1513.1,0
30740000001D884000000011,2019/05/16 14:30:25.172,0,1,1787.6,0
30740000001D884000000010,2019/05/16 14:30:25.172,0,1,3480.4,0
30740000001D88400000000C,2019/05/16 14:30:25.172,0,1,2807.0,0
30740000001D884000000007,2019/05/16 14:30:25.172,0,1,2761.3,0
30740000001D88400000000A,2019/05/16 14:30:25.173,0,1,2620.4,0
30740000001D884000000004,2019/05/16 14:30:25.173,0,1,2817.7,0
30740000001D884000000003,2019/05/16 14:30:25.173,0,1,3197.2,0
30740000001D88400000000B,2019/05/16 14:30:25.173,1,1,1665.5,0
30740000001D884000000003,2019/05/16 14:30:25.323,0,1,3279.6,0
30740000001D88400000000C,2019/05/16 14:30:25.323,0,1,2616.3,0
30740000001D88400000000B,2019/05/16 14:30:25.323,1,1,1787.1,0
