,2019/05/16 14:47:49.340,0,7,0.0,4
30740000001D884000000014,2019/05/16 14:47:49.341,0,1,1270.1,4
30740000001D884000000013,2019/05/16 14:47:49.341,0,1,1884.4,4
30740000001D884000000012,2019/05/16 14:47:49.341,0,1,2105.7,4
30740000001D884000000011,2019/05/16 14:47:49.341,0,1,2711.4,4
30740000001D884000000007,2019/05/16 14:47:49.341,0,1,1944.6,4
30740000001D88400000000A,2019/05/16 14:47:49.341,0,1,1787.2,4
30740000001D884000000003,2019/05/16 14:47:49.341,0,1,1783.8,4
30740000001D884000000014,2019/05/16 14:47:49.457,0,1,1192.3,4
30740000001D884000000013,2019/05/16 14:47:49.457,0,1,2037.7,4
30740000001D884000000012,2019/05/16 14:47:49.457,0,1,2250.8,4
30740000001D884000000011,2019/05/16 14:47:49.457,0,1,2558.7,4
30740000001D884000000009,2019/05/16 14:47:49.457,0,1,1599.0,4
30740000001D88400000000A,2019/05/16 14:47:49.457,0,1,2012.7,4
30740000001D884000000003,2019/05/16 14:47:49.457,0,1,1758.9,4
30740000001D884000000014,2019/05/16 14:47:49.562,0,1,1181.9,4
30740000001D884000000013,2019/05/16 14:47:49.562,0,1,1929.5,4
30740000001D884000000012,2019/05/16 14:47:49.562,0,1,2174.4,4
30740000001D884000000011,2019/05/16 14:47:49.562,0,1,2538.4,4
30740000001D884000000009,2019/05/16 14:47:49.562,0,1,1658.7,4
30740000001D88400000000A,2019/05/16 14:47:49.562,0,1,1970.2,4
30740000001D884000000003,2019/05/16 14:47:49.562,0,1,1811.5,4
30740000001D884000000014,2019/05/16 14:47:49.689,0,1,1224.3,4
30740000001D884000000013,2019/05/16 14:47:49.689,0,1,1973.2,4
30740000001D884000000012,2019/05/16 14:47:49.689,0,1,2185.2,4
30740000001D884000000011,2019/05/16 14:47:49.689,0,1,2636.9,4
30740000001D884000000009,2019/05/16 14:47:49.689,0,1,1674.9,4
30740000001D88400000000A,2019/05/16 14:47:49.689,0,1,2051.5,4
30740000001D884000000003,2019/05/16 14:47:49.689,0,1,1772.2,4
30740000001D884000000014,2019/05/16 14:47:49.794,0,1,1263.6,4
30740000001D884000000013,2019/05/16 14:47:49.794,0,1,1931.0,4
30740000001D884000000012,2019/05/16 14:47:49.794,0,1,2010.5,4
30740000001D884000000011,2019/05/16 14:47:49.794,0,1,2637.4,4
30740000001D88400000000A,2019/05/16 14:47:49.794,0,1,2005.2,4
30740000001D884000000003,2019/05/16 14:47:49.794,0,1,1706.2,4
30740000001D884000000014,2019/05/16 14:47:49.963,0,1,1231.7,4
30740000001D884000000013,2019/05/16 14:47:49.963,0,1,2044.2,4
30740000001D884000000012,2019/05/16 14:47:49.963,0,1,2053.3,4
30740000001D884000000011,2019/05/16 14:47:49.963,0,1,2677.2,4
30740000001D884000000009,2019/05/16 14:47:49.963,0,1,1525.0,4
30740000001D88400000000C,2019/05/16 14:47:49.963,0,1,1442.4,4
30740000001D88400000000A,2019/05/16 14:47:49.963,0,1,2043.1,4
30740000001D884000000003,2019/05/16 14:47:49.964,0,1,1843.3,4
30740000001D884000000014,2019/05/16 14:47:50.120,0,1,1235.6,4
30740000001D884000000013,2019/05/16 14:47:50.120,0,1,2023.5,4
30740000001D884000000011,2019/05/16 14:47:50.120,0,1,2462.8,4
30740000001D884000000010,2019/05/16 14:47:50.120,0,1,2142.9,4
30740000001D88400000000C,2019/05/16 14:47:50.120,0,1,1712.5,4
30740000001D88400000000A,2019/05/16 14:47:50.120,0,1,1552.0,4
30740000001D884000000003,2019/05/16 14:47:50.120,0,1,1928.1,4
30740000001D884000000014,2019/05/16 14:47:50.256,0,1,1217.6,4
30740000001D884000000013,2019/05/16 14:47:50.256,0,1,1919.8,4
30740000001D884000000011,2019/05/16 14:47:50.256,0,1,2218.7,4
30740000001D884000000010,2019/05/16 14:47:50.256,0,1,2559.7,4
30740000001D88400000000C,2019/05/16 14:47:50.256,0,1,1913.4,4
30740000001D88400000000A,2019/05/16 14:47:50.256,0,1,1641.6,4
30740000001D884000000003,2019/05/16 14:47:50.256,0,1,2198.3,4
30740000001D884000000011,2019/05/16 14:47:50.360,0,1,2304.8,4
30740000001D884000000010,2019/05/16 14:47:50.360,0,1,2221.8,4
30740000001D884000000009,2019/05/16 14:47:50.360,0,1,1790.8,4
30740000001D88400000000C,2019/05/16 14:47:50.360,0,1,1897.8,4
30740000001D88400000000A,2019/05/16 14:47:50.360,0,1,1544.2,4
30740000001D884000000003,2019/05/16 14:47:50.360,0,1,1898.4,4
30740000001D884000000011,2019/05/16 14:47:50.468,0,1,2555.8,4
30740000001D884000000009,2019/05/16 14:47:50.468,0,1,1703.4,4
30740000001D884000000010,2019/05/16 14:47:50.468,0,1,2124.1,4
30740000001D88400000000C,2019/05/16 14:47:50.468,1,1,1624.1,4
30740000001D88400000000A,2019/05/16 14:47:50.468,0,1,1651.8,4
30740000001D884000000013,2019/05/16 14:47:50.552,1,1,2204.4,4
30740000001D884000000011,2019/05/16 14:47:50.552,0,1,3028.4,4
30740000001D884000000009,2019/05/16 14:47:50.552,0,1,1577.1,4
30740000001D884000000007,2019/05/16 14:47:50.552,0,1,3584.1,4
30740000001D88400000000A,2019/05/16 14:47:50.552,0,1,1846.7,4
30740000001D884000000011,2019/05/16 14:47:50.658,0,1,3574.7,4
30740000001D884000000007,2019/05/16 14:47:50.658,0,1,4268.5,4
30740000001D884000000004,2019/05/16 14:47:50.658,0,1,1718.2,4
30740000001D884000000013,2019/05/16 14:47:50.764,0,1,2289.3,4
30740000001D884000000011,2019/05/16 14:47:50.764,0,1,3257.2,4
30740000001D884000000010,2019/05/16 14:47:50.764,0,1,2259.0,4
30740000001D884000000007,2019/05/16 14:47:50.764,0,1,4626.3,4
30740000001D884000000004,2019/05/16 14:47:50.764,0,1,1931.2,4
30740000001D884000000013,2019/05/16 14:47:50.890,0,1,3532.7,4
30740000001D884000000011,2019/05/16 14:47:50.890,0,1,3317.6,4
30740000001D88400000000C,2019/05/16 14:47:50.890,0,1,1537.9,4
30740000001D884000000007,2019/05/16 14:47:50.890,0,1,6482.6,4
30740000001D88400000000A,2019/05/16 14:47:50.890,0,1,1818.3,4
30740000001D884000000014,2019/05/16 14:47:51.038,0,1,1891.6,4
30740000001D884000000013,2019/05/16 14:47:51.038,0,1,3784.3,4
30740000001D884000000012,2019/05/16 14:47:51.038,0,1,1981.9,4
30740000001D88400000000C,2019/05/16 14:47:51.038,0,1,2560.8,4
30740000001D884000000007,2019/05/16 14:47:51.038,0,1,5290.3,4
30740000001D88400000000A,2019/05/16 14:47:51.038,0,1,2882.0,4
30740000001D884000000003,2019/05/16 14:47:51.038,0,1,1637.8,4
30740000001D884000000014,2019/05/16 14:47:51.143,1,1,1230.1,4
30740000001D884000000013,2019/05/16 14:47:51.143,0,1,2601.1,4
30740000001D884000000012,2019/05/16 14:47:51.143,0,1,3561.3,4
30740000001D88400000000C,2019/05/16 14:47:51.143,0,1,3423.6,4
30740000001D884000000007,2019/05/16 14:47:51.143,0,1,4566.5,4
30740000001D88400000000A,2019/05/16 14:47:51.143,0,1,3113.1,4
30740000001D884000000003,2019/05/16 14:47:51.143,0,1,2637.9,4
30740000001D884000000013,2019/05/16 14:47:51.300,0,1,1561.7,4
30740000001D884000000012,2019/05/16 14:47:51.300,0,1,4284.0,4
30740000001D884000000010,2019/05/16 14:47:51.300,0,1,2671.5,4
30740000001D884000000009,2019/05/16 14:47:51.300,0,1,2704.1,4
30740000001D88400000000C,2019/05/16 14:47:51.300,0,1,3263.5,4
30740000001D884000000007,2019/05/16 14:47:51.300,0,1,2606.5,4
30740000001D88400000000A,2019/05/16 14:47:51.300,0,1,2754.4,4
30740000001D884000000003,2019/05/16 14:47:51.300,0,1,2901.7,4
30740000001D884000000011,2019/05/16 14:47:51.300,0,1,3290.2,4
30740000001D884000000004,2019/05/16 14:47:51.300,0,1,1421.8,4
30740000001D884000000012,2019/05/16 14:47:51.417,0,1,4926.7,4
30740000001D884000000011,2019/05/16 14:47:51.417,0,1,4192.4,4
30740000001D884000000009,2019/05/16 14:47:51.417,0,1,2295.2,4
30740000001D884000000010,2019/05/16 14:47:51.417,0,1,2553.4,4
30740000001D88400000000C,2019/05/16 14:47:51.417,0,1,3539.4,4
30740000001D884000000004,2019/05/16 14:47:51.417,0,1,1789.4,4
30740000001D884000000003,2019/05/16 14:47:51.417,0,1,2656.3,4
30740000001D884000000012,2019/05/16 14:47:51.533,0,1,5123.4,4
30740000001D884000000011,2019/05/16 14:47:51.533,0,1,5484.9,4
30740000001D884000000009,2019/05/16 14:47:51.533,0,1,2119.7,4
30740000001D884000000010,2019/05/16 14:47:51.533,0,1,2652.8,4
30740000001D88400000000C,2019/05/16 14:47:51.533,0,1,3910.0,4
30740000001D884000000007,2019/05/16 14:47:51.533,0,1,2169.1,4
30740000001D884000000004,2019/05/16 14:47:51.533,0,1,1659.6,4
30740000001D884000000003,2019/05/16 14:47:51.533,0,1,2027.9,4
30740000001D884000000003,2019/05/16 14:47:51.677,0,1,2304.4,4
30740000001D88400000000C,2019/05/16 14:47:51.677,0,1,4028.3,4
30740000001D884000000014,2019/05/16 14:47:51.677,0,1,3145.9,4
30740000001D884000000013,2019/05/16 14:47:51.677,0,1,2744.1,4
30740000001D884000000012,2019/05/16 14:47:51.677,0,1,5297.9,4
30740000001D884000000009,2019/05/16 14:47:51.677,0,1,2269.9,4
30740000001D884000000011,2019/05/16 14:47:51.677,0,1,6870.4,4
30740000001D884000000010,2019/05/16 14:47:51.677,0,1,3014.1,4
30740000001D884000000007,2019/05/16 14:47:51.677,0,1,6818.3,4
30740000001D884000000004,2019/05/16 14:47:51.677,0,1,1866.3,4
30740000001D884000000014,2019/05/16 14:47:51.854,0,1,4958.9,4
30740000001D884000000013,2019/05/16 14:47:51.854,0,1,5560.4,4
30740000001D884000000011,2019/05/16 14:47:51.854,0,1,5631.5,4
30740000001D884000000010,2019/05/16 14:47:51.854,0,1,2867.9,4
30740000001D88400000000C,2019/05/16 14:47:51.854,0,1,5369.2,4
30740000001D884000000007,2019/05/16 14:47:51.854,0,1,8136.2,4
30740000001D88400000000A,2019/05/16 14:47:51.854,0,1,4148.8,4
30740000001D884000000004,2019/05/16 14:47:51.854,0,1,2088.1,4
30740000001D88400000000B,2019/05/16 14:47:51.865,0,1,2866.8,4
30740000001D884000000003,2019/05/16 14:47:51.865,0,1,2668.0,4
30740000001D884000000014,2019/05/16 14:47:51.992,0,1,5558.7,4
30740000001D884000000013,2019/05/16 14:47:51.992,0,1,7808.0,4
30740000001D884000000011,2019/05/16 14:47:51.992,0,1,2711.6,4
30740000001D884000000010,2019/05/16 14:47:51.992,0,1,3932.1,4
30740000001D88400000000B,2019/05/16 14:47:51.992,0,1,3645.5,4
