,2019/05/16 14:15:05.741,0,7,0.0,3
30740000001D884000000003,2019/05/16 14:15:05.753,0,1,4485.0,3
30740000001D88400000000C,2019/05/16 14:15:05.753,0,1,5810.5,3
30740000001D88400000000A,2019/05/16 14:15:05.753,0,1,6924.0,3
30740000001D884000000014,2019/05/16 14:15:05.753,0,1,4765.8,3
30740000001D884000000013,2019/05/16 14:15:05.754,0,1,5456.2,3
30740000001D884000000012,2019/05/16 14:15:05.754,0,1,9396.5,3
30740000001D884000000009,2019/05/16 14:15:05.754,0,1,7184.8,3
30740000001D884000000011,2019/05/16 14:15:05.754,0,1,4736.7,3
30740000001D884000000007,2019/05/16 14:15:05.754,0,1,5552.7,3
30740000001D884000000010,2019/05/16 14:15:05.765,1,1,2409.9,3
30740000001D88400000000B,2019/05/16 14:15:05.765,1,1,2226.1,3
30740000001D884000000004,2019/05/16 14:15:05.765,1,1,2526.9,3
30740000001D884000000014,2019/05/16 14:15:05.923,0,1,4752.9,3
30740000001D884000000012,2019/05/16 14:15:05.923,0,1,9396.1,3
30740000001D884000000011,2019/05/16 14:15:05.923,0,1,4751.3,3
30740000001D884000000009,2019/05/16 14:15:05.923,0,1,7392.7,3
30740000001D88400000000C,2019/05/16 14:15:05.924,0,1,5899.5,3
30740000001D884000000007,2019/05/16 14:15:05.924,0,1,5474.3,3
30740000001D88400000000A,2019/05/16 14:15:05.924,0,1,6829.7,3
30740000001D884000000003,2019/05/16 14:15:05.924,0,1,4520.5,3
30740000001D884000000013,2019/05/16 14:15:05.924,0,1,5509.7,3
30740000001D884000000010,2019/05/16 14:15:05.954,1,1,2330.3,3
30740000001D88400000000B,2019/05/16 14:15:05.954,1,1,2498.1,3
30740000001D884000000004,2019/05/16 14:15:05.954,1,1,2469.2,3
30740000001D88400000000C,2019/05/16 14:15:06.156,0,1,5913.1,3
30740000001D88400000000A,2019/05/16 14:15:06.156,0,1,6736.6,3
30740000001D884000000014,2019/05/16 14:15:06.156,0,1,4555.1,3
30740000001D884000000013,2019/05/16 14:15:06.156,0,1,5652.2,3
30740000001D884000000012,2019/05/16 14:15:06.157,0,1,9285.3,3
30740000001D884000000009,2019/05/16 14:15:06.157,0,1,7032.8,3
30740000001D884000000011,2019/05/16 14:15:06.157,0,1,4715.7,3
30740000001D884000000010,2019/05/16 14:15:06.157,0,1,1309.5,3
30740000001D884000000007,2019/05/16 14:15:06.157,0,1,5150.3,3
30740000001D88400000000B,2019/05/16 14:15:06.177,0,1,1871.1,3
30740000001D884000000004,2019/05/16 14:15:06.177,0,1,1760.4,3
30740000001D884000000003,2019/05/16 14:15:06.177,0,1,4611.8,3
30740000001D884000000003,2019/05/16 14:15:06.417,0,1,4449.2,3
30740000001D88400000000C,2019/05/16 14:15:06.419,0,1,6010.1,3
30740000001D88400000000A,2019/05/16 14:15:06.419,0,1,6790.9,3
30740000001D884000000014,2019/05/16 14:15:06.419,0,1,4733.5,3
30740000001D884000000013,2019/05/16 14:15:06.419,0,1,5380.9,3
30740000001D884000000012,2019/05/16 14:15:06.419,0,1,9383.9,3
30740000001D884000000009,2019/05/16 14:15:06.420,0,1,7314.4,3
30740000001D884000000011,2019/05/16 14:15:06.420,0,1,4831.0,3
30740000001D884000000007,2019/05/16 14:15:06.420,0,1,5309.1,3
