,2019/05/16 14:38:40.323,0,7,0.0,1
30740000001D884000000003,2019/05/16 14:38:40.334,0,1,2179.6,1
30740000001D88400000000C,2019/05/16 14:38:40.334,0,1,2663.3,1
30740000001D88400000000B,2019/05/16 14:38:40.334,1,1,2456.2,1
30740000001D884000000014,2019/05/16 14:38:40.334,1,1,1722.9,1
30740000001D884000000013,2019/05/16 14:38:40.334,0,1,1946.8,1
30740000001D884000000012,2019/05/16 14:38:40.334,0,1,2755.8,1
30740000001D884000000011,2019/05/16 14:38:40.335,1,1,1487.3,1
30740000001D884000000010,2019/05/16 14:38:40.335,1,1,3739.4,1
30740000001D884000000004,2019/05/16 14:38:40.335,1,1,4192.9,1
30740000001D884000000013,2019/05/16 14:38:40.461,0,1,2240.1,1
30740000001D884000000012,2019/05/16 14:38:40.461,0,1,2813.6,1
30740000001D884000000011,2019/05/16 14:38:40.461,1,1,1527.2,1
30740000001D884000000010,2019/05/16 14:38:40.461,1,1,3800.9,1
30740000001D88400000000C,2019/05/16 14:38:40.461,0,1,2516.5,1
30740000001D88400000000B,2019/05/16 14:38:40.461,1,1,2374.6,1
30740000001D884000000004,2019/05/16 14:38:40.461,1,1,4194.1,1
30740000001D884000000003,2019/05/16 14:38:40.461,0,1,2503.7,1
30740000001D884000000013,2019/05/16 14:38:40.662,0,1,2103.0,1
30740000001D884000000012,2019/05/16 14:38:40.662,0,1,2634.8,1
30740000001D884000000011,2019/05/16 14:38:40.662,1,1,1487.2,1
30740000001D884000000010,2019/05/16 14:38:40.662,1,1,3828.5,1
30740000001D88400000000C,2019/05/16 14:38:40.662,0,1,2530.4,1
30740000001D88400000000B,2019/05/16 14:38:40.662,1,1,2320.2,1
30740000001D884000000004,2019/05/16 14:38:40.662,1,1,4176.9,1
30740000001D884000000003,2019/05/16 14:38:40.662,0,1,2454.6,1
30740000001D884000000013,2019/05/16 14:38:40.789,0,1,2220.3,1
30740000001D884000000012,2019/05/16 14:38:40.789,0,1,2748.2,1
30740000001D884000000011,2019/05/16 14:38:40.789,1,1,1669.8,1
30740000001D884000000010,2019/05/16 14:38:40.789,1,1,3768.7,1
30740000001D88400000000C,2019/05/16 14:38:40.789,0,1,2608.8,1
30740000001D88400000000B,2019/05/16 14:38:40.789,1,1,2265.9,1
30740000001D884000000004,2019/05/16 14:38:40.789,1,1,4047.5,1
30740000001D884000000003,2019/05/16 14:38:40.789,0,1,2414.0,1
30740000001D884000000013,2019/05/16 14:38:40.935,0,1,2249.4,1
30740000001D884000000012,2019/05/16 14:38:40.935,0,1,2604.9,1
30740000001D884000000011,2019/05/16 14:38:40.935,1,1,1620.7,1
30740000001D884000000010,2019/05/16 14:38:40.935,1,1,3753.8,1
30740000001D88400000000C,2019/05/16 14:38:40.935,0,1,2571.6,1
30740000001D88400000000B,2019/05/16 14:38:40.935,1,1,2384.8,1
30740000001D884000000004,2019/05/16 14:38:40.935,1,1,4146.1,1
30740000001D884000000003,2019/05/16 14:38:40.935,0,1,2447.8,1
30740000001D884000000013,2019/05/16 14:38:41.083,0,1,1952.9,1
30740000001D884000000012,2019/05/16 14:38:41.083,0,1,2448.3,1
30740000001D884000000011,2019/05/16 14:38:41.083,1,1,1569.9,1
30740000001D884000000010,2019/05/16 14:38:41.083,1,1,4120.9,1
30740000001D88400000000C,2019/05/16 14:38:41.083,0,1,2696.2,1
30740000001D88400000000B,2019/05/16 14:38:41.083,1,1,2420.5,1
30740000001D884000000004,2019/05/16 14:38:41.083,1,1,4424.4,1
30740000001D884000000003,2019/05/16 14:38:41.083,0,1,2450.4,1
30740000001D884000000014,2019/05/16 14:38:41.244,0,1,1509.0,1
30740000001D884000000013,2019/05/16 14:38:41.244,0,1,1880.9,1
30740000001D884000000012,2019/05/16 14:38:41.244,0,1,2336.9,1
30740000001D884000000010,2019/05/16 14:38:41.244,1,1,4893.4,1
30740000001D88400000000C,2019/05/16 14:38:41.244,0,1,2873.3,1
30740000001D88400000000B,2019/05/16 14:38:41.244,1,1,2734.5,1
30740000001D884000000004,2019/05/16 14:38:41.244,1,1,4956.7,1
30740000001D884000000003,2019/05/16 14:38:41.244,0,1,2445.5,1
30740000001D884000000003,2019/05/16 14:38:41.446,0,1,2495.7,1
30740000001D88400000000C,2019/05/16 14:38:41.446,0,1,2849.9,1
30740000001D88400000000A,2019/05/16 14:38:41.446,0,1,1393.8,1
30740000001D884000000014,2019/05/16 14:38:41.446,0,1,1647.0,1
30740000001D884000000013,2019/05/16 14:38:41.446,0,1,1929.8,1
30740000001D884000000009,2019/05/16 14:38:41.446,1,1,1959.0,1
30740000001D884000000010,2019/05/16 14:38:41.446,1,1,5743.8,1
30740000001D884000000007,2019/05/16 14:38:41.446,1,1,1847.9,1
30740000001D884000000004,2019/05/16 14:38:41.446,0,1,1674.5,1
30740000001D884000000012,2019/05/16 14:38:41.469,1,1,2274.0,1
30740000001D88400000000B,2019/05/16 14:38:41.469,1,1,2554.1,1
30740000001D884000000012,2019/05/16 14:38:41.606,1,1,2891.3,1
30740000001D884000000010,2019/05/16 14:38:41.606,0,1,1288.4,1
30740000001D88400000000C,2019/05/16 14:38:41.606,0,1,2623.3,1
30740000001D884000000007,2019/05/16 14:38:41.606,1,1,1987.6,1
30740000001D88400000000B,2019/05/16 14:38:41.606,1,1,2359.6,1
30740000001D88400000000A,2019/05/16 14:38:41.606,0,1,1851.7,1
30740000001D884000000004,2019/05/16 14:38:41.606,0,1,2142.1,1
30740000001D884000000003,2019/05/16 14:38:41.606,0,1,1838.8,1
30740000001D884000000009,2019/05/16 14:38:41.606,1,1,3232.7,1
30740000001D884000000003,2019/05/16 14:38:41.753,1,1,1913.8,1
30740000001D88400000000C,2019/05/16 14:38:41.753,0,1,2101.1,1
30740000001D88400000000B,2019/05/16 14:38:41.753,1,1,2598.1,1
30740000001D88400000000A,2019/05/16 14:38:41.753,0,1,1644.0,1
30740000001D884000000012,2019/05/16 14:38:41.753,1,1,3977.0,1
30740000001D884000000009,2019/05/16 14:38:41.753,1,1,3681.4,1
30740000001D884000000010,2019/05/16 14:38:41.753,0,1,2196.0,1
30740000001D884000000007,2019/05/16 14:38:41.753,1,1,1647.3,1
30740000001D884000000004,2019/05/16 14:38:41.754,0,1,2540.1,1
30740000001D884000000012,2019/05/16 14:38:41.891,1,1,4205.9,1
30740000001D884000000009,2019/05/16 14:38:41.891,1,1,4219.1,1
30740000001D884000000010,2019/05/16 14:38:41.891,0,1,3939.4,1
30740000001D88400000000C,2019/05/16 14:38:41.891,0,1,1736.1,1
30740000001D88400000000B,2019/05/16 14:38:41.891,1,1,2956.7,1
30740000001D884000000004,2019/05/16 14:38:41.891,0,1,2942.3,1
30740000001D884000000003,2019/05/16 14:38:41.891,1,1,2236.7,1
