,2019/05/16 14:35:26.908,0,7,0.0,1
30740000001D884000000003,2019/05/16 14:35:26.909,1,1,1956.8,1
30740000001D88400000000C,2019/05/16 14:35:26.909,0,1,1557.8,1
30740000001D884000000014,2019/05/16 14:35:26.909,1,1,1597.5,1
30740000001D884000000013,2019/05/16 14:35:26.909,0,1,1699.9,1
30740000001D884000000012,2019/05/16 14:35:26.909,1,1,2749.7,1
30740000001D884000000009,2019/05/16 14:35:26.909,1,1,1765.2,1
30740000001D884000000010,2019/05/16 14:35:26.909,0,1,1785.2,1
30740000001D884000000007,2019/05/16 14:35:26.909,0,1,2175.8,1
30740000001D884000000004,2019/05/16 14:35:26.909,1,1,4208.2,1
30740000001D88400000000B,2019/05/16 14:35:26.910,1,1,3462.3,1
30740000001D88400000000C,2019/05/16 14:35:27.055,0,1,1766.0,1
30740000001D88400000000B,2019/05/16 14:35:27.055,1,1,3542.0,1
30740000001D884000000014,2019/05/16 14:35:27.055,1,1,1651.4,1
30740000001D884000000013,2019/05/16 14:35:27.055,0,1,1919.9,1
30740000001D884000000012,2019/05/16 14:35:27.055,1,1,2559.1,1
30740000001D884000000009,2019/05/16 14:35:27.055,1,1,1735.6,1
30740000001D884000000010,2019/05/16 14:35:27.055,0,1,1568.8,1
30740000001D884000000007,2019/05/16 14:35:27.055,0,1,1804.6,1
30740000001D884000000004,2019/05/16 14:35:27.055,1,1,4304.3,1
30740000001D884000000003,2019/05/16 14:35:27.264,1,1,1923.4,1
30740000001D88400000000C,2019/05/16 14:35:27.264,0,1,1601.7,1
30740000001D88400000000B,2019/05/16 14:35:27.264,1,1,3487.0,1
30740000001D884000000014,2019/05/16 14:35:27.264,1,1,1826.9,1
30740000001D884000000013,2019/05/16 14:35:27.264,0,1,1921.2,1
30740000001D884000000012,2019/05/16 14:35:27.265,1,1,2640.1,1
30740000001D884000000009,2019/05/16 14:35:27.265,1,1,1633.4,1
30740000001D884000000010,2019/05/16 14:35:27.265,0,1,1550.6,1
30740000001D884000000007,2019/05/16 14:35:27.265,0,1,1891.4,1
