,2019/05/16 14:12:40.247,0,7,0.0,3
30740000001D884000000014,2019/05/16 14:12:40.248,1,1,1464.6,3
30740000001D884000000012,2019/05/16 14:12:40.248,1,1,5652.1,3
30740000001D884000000009,2019/05/16 14:12:40.248,1,1,3525.8,3
30740000001D884000000010,2019/05/16 14:12:40.249,0,1,1869.7,3
30740000001D88400000000C,2019/05/16 14:12:40.249,1,1,4215.3,3
30740000001D88400000000B,2019/05/16 14:12:40.249,1,1,2931.7,3
30740000001D884000000004,2019/05/16 14:12:40.249,1,1,3374.3,3
30740000001D884000000007,2019/05/16 14:12:40.249,1,1,3073.5,3
30740000001D884000000003,2019/05/16 14:12:40.250,1,1,5091.4,3
30740000001D884000000013,2019/05/16 14:12:40.271,1,1,1575.2,3
30740000001D884000000011,2019/05/16 14:12:40.271,1,1,2264.6,3
30740000001D88400000000A,2019/05/16 14:12:40.272,1,2,1829.1,3
30740000001D884000000012,2019/05/16 14:12:40.410,1,1,5661.1,3
30740000001D884000000009,2019/05/16 14:12:40.410,1,1,3655.5,3
30740000001D884000000010,2019/05/16 14:12:40.411,0,1,1945.7,3
30740000001D88400000000C,2019/05/16 14:12:40.411,1,1,4165.0,3
30740000001D88400000000B,2019/05/16 14:12:40.411,1,1,2794.3,3
30740000001D884000000007,2019/05/16 14:12:40.411,1,1,2919.8,3
30740000001D88400000000A,2019/05/16 14:12:40.411,1,1,1725.5,3
30740000001D884000000003,2019/05/16 14:12:40.411,1,1,5047.9,3
30740000001D884000000014,2019/05/16 14:12:40.412,1,1,1587.6,3
30740000001D884000000011,2019/05/16 14:12:40.412,1,1,2044.6,3
30740000001D884000000004,2019/05/16 14:12:40.412,1,1,3419.4,3
30740000001D884000000003,2019/05/16 14:12:40.507,1,1,5215.9,3
30740000001D88400000000C,2019/05/16 14:12:40.508,1,1,4650.5,3
30740000001D88400000000A,2019/05/16 14:12:40.508,1,1,1760.4,3
30740000001D884000000014,2019/05/16 14:12:40.508,1,1,1547.9,3
30740000001D884000000009,2019/05/16 14:12:40.508,1,1,3585.6,3
30740000001D884000000011,2019/05/16 14:12:40.508,1,1,2208.5,3
30740000001D884000000010,2019/05/16 14:12:40.508,0,1,1972.6,3
30740000001D884000000007,2019/05/16 14:12:40.509,1,1,3059.7,3
30740000001D884000000004,2019/05/16 14:12:40.509,1,1,3228.9,3
30740000001D884000000013,2019/05/16 14:12:40.530,1,1,1677.5,3
30740000001D884000000012,2019/05/16 14:12:40.530,1,1,5781.3,3
30740000001D88400000000B,2019/05/16 14:12:40.530,1,1,2889.4,3
30740000001D884000000014,2019/05/16 14:12:40.636,1,1,1480.2,3
30740000001D884000000013,2019/05/16 14:12:40.636,1,1,1880.5,3
30740000001D884000000012,2019/05/16 14:12:40.637,1,1,5931.5,3
30740000001D884000000010,2019/05/16 14:12:40.637,0,1,1983.3,3
30740000001D88400000000C,2019/05/16 14:12:40.637,1,1,4620.4,3
30740000001D884000000007,2019/05/16 14:12:40.637,1,1,3246.3,3
30740000001D88400000000B,2019/05/16 14:12:40.637,1,1,2861.7,3
30740000001D88400000000A,2019/05/16 14:12:40.638,1,1,1719.8,3
30740000001D884000000009,2019/05/16 14:12:40.648,1,1,3652.0,3
30740000001D884000000011,2019/05/16 14:12:40.668,1,1,2339.8,3
30740000001D884000000004,2019/05/16 14:12:40.668,1,1,3203.7,3
30740000001D884000000003,2019/05/16 14:12:40.668,1,1,5048.0,3
30740000001D884000000003,2019/05/16 14:12:40.792,1,1,4776.8,3
30740000001D88400000000C,2019/05/16 14:12:40.793,1,1,3651.6,3
30740000001D88400000000B,2019/05/16 14:12:40.793,1,1,2729.6,3
30740000001D884000000014,2019/05/16 14:12:40.793,1,1,1397.7,3
30740000001D884000000012,2019/05/16 14:12:40.793,1,1,5260.3,3
30740000001D884000000009,2019/05/16 14:12:40.793,1,1,3393.3,3
30740000001D884000000011,2019/05/16 14:12:40.793,1,1,2205.5,3
30740000001D884000000010,2019/05/16 14:12:40.794,0,1,1877.4,3
30740000001D884000000007,2019/05/16 14:12:40.794,1,1,2657.6,3
30740000001D884000000004,2019/05/16 14:12:40.794,1,1,3606.5,3
30740000001D884000000014,2019/05/16 14:12:40.911,1,1,1258.6,3
30740000001D884000000012,2019/05/16 14:12:40.912,1,1,5328.9,3
30740000001D884000000011,2019/05/16 14:12:40.912,1,1,2134.6,3
30740000001D884000000009,2019/05/16 14:12:40.912,1,1,3304.6,3
30740000001D884000000010,2019/05/16 14:12:40.912,0,1,1992.0,3
30740000001D88400000000C,2019/05/16 14:12:40.912,1,1,3746.2,3
30740000001D884000000007,2019/05/16 14:12:40.913,1,1,2733.1,3
30740000001D884000000003,2019/05/16 14:12:40.913,1,1,4752.4,3
30740000001D884000000013,2019/05/16 14:12:40.913,1,1,2038.0,3
30740000001D88400000000B,2019/05/16 14:12:40.944,1,1,2933.2,3
30740000001D884000000004,2019/05/16 14:12:40.944,1,1,3507.3,3
30740000001D884000000003,2019/05/16 14:12:41.081,1,1,5069.8,3
30740000001D88400000000C,2019/05/16 14:12:41.081,1,1,4012.7,3
30740000001D88400000000B,2019/05/16 14:12:41.082,1,1,2753.7,3
30740000001D884000000014,2019/05/16 14:12:41.082,1,1,1570.9,3
30740000001D884000000013,2019/05/16 14:12:41.082,1,1,1883.8,3
30740000001D884000000012,2019/05/16 14:12:41.082,1,1,5380.5,3
30740000001D884000000009,2019/05/16 14:12:41.082,1,1,3541.9,3
30740000001D884000000010,2019/05/16 14:12:41.082,0,1,1822.3,3
30740000001D884000000007,2019/05/16 14:12:41.083,1,1,2721.7,3
30740000001D884000000013,2019/05/16 14:12:41.148,1,1,1720.3,3
30740000001D884000000011,2019/05/16 14:12:41.149,1,1,2079.6,3
30740000001D88400000000A,2019/05/16 14:12:41.149,1,1,1553.5,3
30740000001D884000000004,2019/05/16 14:12:41.149,1,1,3505.6,3
30740000001D884000000003,2019/05/16 14:12:41.254,1,1,5114.3,3
30740000001D88400000000B,2019/05/16 14:12:41.254,1,1,2717.6,3
30740000001D884000000014,2019/05/16 14:12:41.255,1,1,1584.7,3
30740000001D884000000012,2019/05/16 14:12:41.255,1,1,5419.5,3
30740000001D884000000009,2019/05/16 14:12:41.255,1,1,3570.0,3
30740000001D884000000011,2019/05/16 14:12:41.255,1,1,2315.1,3
30740000001D884000000010,2019/05/16 14:12:41.255,0,1,1915.1,3
30740000001D884000000007,2019/05/16 14:12:41.255,1,1,2719.6,3
30740000001D884000000004,2019/05/16 14:12:41.256,1,1,3542.9,3
30740000001D884000000013,2019/05/16 14:12:41.277,1,1,1807.1,3
30740000001D88400000000C,2019/05/16 14:12:41.277,1,1,3926.1,3
30740000001D88400000000A,2019/05/16 14:12:41.278,1,1,1639.2,3
30740000001D884000000012,2019/05/16 14:12:41.385,1,1,5798.5,3
30740000001D884000000011,2019/05/16 14:12:41.386,1,1,2250.8,3
30740000001D884000000009,2019/05/16 14:12:41.386,1,1,3702.0,3
30740000001D884000000010,2019/05/16 14:12:41.386,0,1,2031.8,3
30740000001D88400000000C,2019/05/16 14:12:41.386,1,1,4535.8,3
30740000001D88400000000A,2019/05/16 14:12:41.386,1,1,1807.0,3
30740000001D884000000004,2019/05/16 14:12:41.386,1,1,3333.6,3
30740000001D884000000003,2019/05/16 14:12:41.387,1,1,5258.7,3
30740000001D884000000014,2019/05/16 14:12:41.397,1,1,1451.9,3
30740000001D884000000007,2019/05/16 14:12:41.418,1,1,2969.7,3
30740000001D88400000000B,2019/05/16 14:12:41.418,1,1,2858.6,3
30740000001D884000000013,2019/05/16 14:12:41.536,1,1,1760.8,3
30740000001D884000000012,2019/05/16 14:12:41.536,1,1,5739.8,3
30740000001D884000000011,2019/05/16 14:12:41.536,1,1,2105.8,3
30740000001D884000000010,2019/05/16 14:12:41.536,0,1,1989.0,3
30740000001D88400000000C,2019/05/16 14:12:41.536,1,1,4421.0,3
30740000001D88400000000B,2019/05/16 14:12:41.536,1,1,2662.4,3
30740000001D884000000007,2019/05/16 14:12:41.537,1,1,3091.1,3
30740000001D884000000004,2019/05/16 14:12:41.537,1,1,3338.6,3
30740000001D884000000014,2019/05/16 14:12:41.537,1,1,1663.0,3
30740000001D884000000009,2019/05/16 14:12:41.558,1,1,3828.5,3
