,2019/05/16 14:39:29.302,0,7,0.0,1
30740000001D884000000003,2019/05/16 14:39:29.303,0,1,2451.3,1
30740000001D88400000000C,2019/05/16 14:39:29.303,0,1,1636.3,1
30740000001D88400000000B,2019/05/16 14:39:29.303,1,1,2573.4,1
30740000001D88400000000A,2019/05/16 14:39:29.303,0,1,1862.2,1
30740000001D884000000014,2019/05/16 14:39:29.303,1,1,3420.7,1
30740000001D884000000012,2019/05/16 14:39:29.304,0,1,3045.3,1
30740000001D884000000009,2019/05/16 14:39:29.304,1,1,5627.6,1
30740000001D884000000007,2019/05/16 14:39:29.304,1,1,2580.1,1
30740000001D884000000004,2019/05/16 14:39:29.304,0,1,2067.2,1
30740000001D884000000010,2019/05/16 14:39:29.304,1,1,9356.9,1
30740000001D884000000003,2019/05/16 14:39:29.451,0,1,2434.1,1
30740000001D88400000000C,2019/05/16 14:39:29.451,1,1,2433.3,1
30740000001D88400000000B,2019/05/16 14:39:29.451,1,1,2178.2,1
30740000001D88400000000A,2019/05/16 14:39:29.451,0,1,1935.7,1
30740000001D884000000014,2019/05/16 14:39:29.451,1,1,3692.6,1
30740000001D884000000012,2019/05/16 14:39:29.452,0,1,3002.4,1
30740000001D884000000009,2019/05/16 14:39:29.452,1,1,5786.3,1
30740000001D884000000010,2019/05/16 14:39:29.452,1,1,9569.3,1
30740000001D884000000007,2019/05/16 14:39:29.452,1,1,2163.0,1
30740000001D884000000004,2019/05/16 14:39:29.452,0,1,2099.5,1
30740000001D884000000003,2019/05/16 14:39:29.599,0,1,2425.7,1
30740000001D88400000000C,2019/05/16 14:39:29.599,1,1,2633.2,1
30740000001D88400000000B,2019/05/16 14:39:29.599,1,1,2393.7,1
30740000001D88400000000A,2019/05/16 14:39:29.599,0,1,2031.4,1
30740000001D884000000014,2019/05/16 14:39:29.599,1,1,3575.5,1
30740000001D884000000012,2019/05/16 14:39:29.599,0,1,3019.4,1
30740000001D884000000009,2019/05/16 14:39:29.600,1,1,5535.6,1
30740000001D884000000010,2019/05/16 14:39:29.600,1,1,9611.0,1
