,2019/05/16 14:16:03.523,0,7,0.0,3
30740000001D884000000012,2019/05/16 14:16:03.523,0,1,2979.0,3
30740000001D884000000011,2019/05/16 14:16:03.523,1,1,3056.6,3
30740000001D884000000009,2019/05/16 14:16:03.524,0,1,1995.8,3
30740000001D884000000010,2019/05/16 14:16:03.524,0,1,3633.8,3
30740000001D88400000000C,2019/05/16 14:16:03.524,0,1,2454.0,3
30740000001D884000000007,2019/05/16 14:16:03.524,1,1,3725.0,3
30740000001D88400000000A,2019/05/16 14:16:03.524,1,1,3826.4,3
30740000001D884000000004,2019/05/16 14:16:03.524,0,1,3133.0,3
30740000001D884000000013,2019/05/16 14:16:03.524,1,1,4469.6,3
30740000001D884000000014,2019/05/16 14:16:03.545,1,1,4304.2,3
30740000001D884000000003,2019/05/16 14:16:03.545,1,1,6115.3,3
30740000001D884000000012,2019/05/16 14:16:03.692,0,1,3048.6,3
30740000001D884000000009,2019/05/16 14:16:03.692,0,1,2025.4,3
30740000001D884000000010,2019/05/16 14:16:03.692,0,1,3854.8,3
30740000001D88400000000C,2019/05/16 14:16:03.692,0,1,2201.9,3
30740000001D884000000007,2019/05/16 14:16:03.692,1,1,3835.9,3
30740000001D88400000000A,2019/05/16 14:16:03.692,1,1,3593.7,3
30740000001D884000000004,2019/05/16 14:16:03.692,0,1,3291.5,3
30740000001D884000000003,2019/05/16 14:16:03.693,1,1,6510.0,3
30740000001D884000000014,2019/05/16 14:16:03.703,1,1,4159.9,3
30740000001D884000000013,2019/05/16 14:16:03.724,1,1,4479.1,3
30740000001D884000000011,2019/05/16 14:16:03.724,1,1,2897.8,3
30740000001D884000000013,2019/05/16 14:16:03.874,1,1,4450.4,3
30740000001D884000000012,2019/05/16 14:16:03.874,0,1,2922.0,3
30740000001D884000000009,2019/05/16 14:16:03.874,0,1,1905.0,3
30740000001D884000000010,2019/05/16 14:16:03.874,0,1,3713.2,3
30740000001D88400000000C,2019/05/16 14:16:03.875,0,1,2141.9,3
30740000001D884000000007,2019/05/16 14:16:03.875,1,1,3659.6,3
30740000001D884000000004,2019/05/16 14:16:03.875,0,1,3271.0,3
30740000001D884000000003,2019/05/16 14:16:03.875,1,1,6517.7,3
30740000001D884000000011,2019/05/16 14:16:03.875,1,1,2942.7,3
30740000001D884000000014,2019/05/16 14:16:03.907,1,1,4140.1,3
30740000001D88400000000A,2019/05/16 14:16:03.907,1,1,3734.1,3
30740000001D884000000003,2019/05/16 14:16:04.044,1,1,6003.4,3
30740000001D88400000000C,2019/05/16 14:16:04.044,0,1,2350.4,3
30740000001D884000000013,2019/05/16 14:16:04.044,1,1,4329.4,3
30740000001D884000000012,2019/05/16 14:16:04.044,0,1,2879.1,3
30740000001D884000000009,2019/05/16 14:16:04.044,0,1,1955.6,3
30740000001D884000000011,2019/05/16 14:16:04.044,1,1,3081.2,3
30740000001D884000000010,2019/05/16 14:16:04.044,0,1,3554.5,3
30740000001D884000000007,2019/05/16 14:16:04.044,1,1,3929.6,3
30740000001D884000000004,2019/05/16 14:16:04.045,0,1,3111.7,3
30740000001D884000000014,2019/05/16 14:16:04.067,1,1,4185.0,3
30740000001D88400000000A,2019/05/16 14:16:04.067,1,1,3872.6,3
30740000001D884000000012,2019/05/16 14:16:04.223,0,1,2979.4,3
30740000001D884000000011,2019/05/16 14:16:04.223,1,1,3079.0,3
30740000001D884000000009,2019/05/16 14:16:04.223,0,1,1905.9,3
30740000001D884000000010,2019/05/16 14:16:04.223,0,1,3478.1,3
30740000001D88400000000C,2019/05/16 14:16:04.223,0,1,2315.9,3
30740000001D88400000000A,2019/05/16 14:16:04.223,1,1,4035.7,3
30740000001D884000000004,2019/05/16 14:16:04.223,0,1,3053.2,3
30740000001D884000000003,2019/05/16 14:16:04.223,1,1,6177.1,3
30740000001D884000000014,2019/05/16 14:16:04.235,1,1,4289.2,3
30740000001D884000000013,2019/05/16 14:16:04.235,1,1,4340.1,3
30740000001D884000000007,2019/05/16 14:16:04.235,1,1,3705.2,3
30740000001D88400000000C,2019/05/16 14:16:04.381,0,1,2291.4,3
30740000001D884000000014,2019/05/16 14:16:04.381,1,1,4192.5,3
30740000001D884000000013,2019/05/16 14:16:04.381,1,1,4536.9,3
30740000001D884000000012,2019/05/16 14:16:04.381,0,1,3035.3,3
30740000001D884000000009,2019/05/16 14:16:04.381,0,1,1988.2,3
30740000001D884000000011,2019/05/16 14:16:04.381,1,1,2892.9,3
30740000001D884000000010,2019/05/16 14:16:04.384,0,1,3617.3,3
30740000001D884000000007,2019/05/16 14:16:04.385,1,1,3706.8,3
30740000001D884000000004,2019/05/16 14:16:04.385,0,1,3112.3,3
30740000001D88400000000A,2019/05/16 14:16:04.416,1,1,3856.9,3
30740000001D884000000003,2019/05/16 14:16:04.417,1,1,6324.9,3
30740000001D884000000003,2019/05/16 14:16:04.544,1,1,6331.7,3
30740000001D88400000000C,2019/05/16 14:16:04.544,0,1,2138.8,3
30740000001D884000000014,2019/05/16 14:16:04.544,1,1,4187.5,3
30740000001D884000000013,2019/05/16 14:16:04.544,1,1,4382.0,3
30740000001D884000000012,2019/05/16 14:16:04.544,0,1,2937.0,3
30740000001D884000000009,2019/05/16 14:16:04.544,0,1,2129.7,3
30740000001D884000000011,2019/05/16 14:16:04.545,1,1,2925.3,3
30740000001D884000000010,2019/05/16 14:16:04.545,0,1,3605.2,3
30740000001D884000000004,2019/05/16 14:16:04.545,0,1,3131.9,3
30740000001D884000000007,2019/05/16 14:16:04.588,1,1,3634.8,3
30740000001D88400000000A,2019/05/16 14:16:04.588,1,1,3744.8,3
30740000001D884000000012,2019/05/16 14:16:04.724,0,1,3089.7,3
30740000001D884000000010,2019/05/16 14:16:04.724,0,1,3911.6,3
30740000001D884000000009,2019/05/16 14:16:04.724,0,1,1915.0,3
30740000001D88400000000C,2019/05/16 14:16:04.724,0,1,2217.1,3
30740000001D884000000007,2019/05/16 14:16:04.724,1,1,3696.4,3
30740000001D88400000000B,2019/05/16 14:16:04.725,0,1,1486.7,3
30740000001D884000000004,2019/05/16 14:16:04.725,0,1,3228.3,3
30740000001D884000000003,2019/05/16 14:16:04.725,1,1,6469.4,3
30740000001D884000000014,2019/05/16 14:16:04.725,1,1,4078.0,3
30740000001D884000000013,2019/05/16 14:16:04.756,1,1,4454.0,3
30740000001D884000000011,2019/05/16 14:16:04.756,1,1,2853.7,3
30740000001D88400000000A,2019/05/16 14:16:04.756,1,1,3793.8,3
30740000001D884000000003,2019/05/16 14:16:04.903,1,1,6583.2,3
30740000001D88400000000C,2019/05/16 14:16:04.903,0,1,2120.4,3
30740000001D88400000000B,2019/05/16 14:16:04.903,0,1,1647.7,3
30740000001D88400000000A,2019/05/16 14:16:04.904,1,1,3656.8,3
30740000001D884000000012,2019/05/16 14:16:04.904,0,1,3262.9,3
30740000001D884000000011,2019/05/16 14:16:04.904,1,1,2963.0,3
30740000001D884000000009,2019/05/16 14:16:04.904,0,1,1985.2,3
30740000001D884000000010,2019/05/16 14:16:04.904,0,1,3898.7,3
30740000001D884000000004,2019/05/16 14:16:04.904,0,1,3229.9,3
30740000001D884000000014,2019/05/16 14:16:04.925,1,1,4280.2,3
30740000001D884000000013,2019/05/16 14:16:04.925,1,1,4390.1,3
30740000001D884000000007,2019/05/16 14:16:04.925,1,1,3732.6,3
30740000001D884000000013,2019/05/16 14:16:05.061,1,1,4382.2,3
30740000001D884000000012,2019/05/16 14:16:05.061,0,1,2948.1,3
30740000001D884000000009,2019/05/16 14:16:05.061,0,1,1874.8,3
30740000001D884000000010,2019/05/16 14:16:05.061,0,1,3632.9,3
30740000001D88400000000C,2019/05/16 14:16:05.061,0,1,2421.9,3
30740000001D884000000007,2019/05/16 14:16:05.062,1,1,3958.7,3
30740000001D88400000000A,2019/05/16 14:16:05.062,1,1,4198.3,3
30740000001D884000000004,2019/05/16 14:16:05.062,0,1,3145.1,3
30740000001D884000000003,2019/05/16 14:16:05.062,1,1,5834.7,3
30740000001D884000000014,2019/05/16 14:16:05.083,1,1,4558.5,3
30740000001D884000000011,2019/05/16 14:16:05.083,1,1,3173.7,3
30740000001D884000000003,2019/05/16 14:16:05.229,1,1,5890.8,3
30740000001D88400000000C,2019/05/16 14:16:05.229,0,1,2397.3,3
30740000001D88400000000A,2019/05/16 14:16:05.229,1,1,4121.4,3
30740000001D884000000012,2019/05/16 14:16:05.229,0,1,2942.4,3
30740000001D884000000009,2019/05/16 14:16:05.229,0,1,1917.4,3
30740000001D884000000011,2019/05/16 14:16:05.229,1,1,3122.9,3
30740000001D884000000010,2019/05/16 14:16:05.229,0,1,3668.9,3
30740000001D884000000007,2019/05/16 14:16:05.229,1,1,3798.8,3
30740000001D884000000004,2019/05/16 14:16:05.229,0,1,3034.5,3
30740000001D884000000014,2019/05/16 14:16:05.250,1,1,4281.8,3
30740000001D884000000013,2019/05/16 14:16:05.250,1,1,4340.9,3
30740000001D884000000013,2019/05/16 14:16:05.430,1,1,4482.9,3
30740000001D884000000012,2019/05/16 14:16:05.430,0,1,3041.5,3
30740000001D884000000011,2019/05/16 14:16:05.430,1,1,3030.8,3
30740000001D884000000010,2019/05/16 14:16:05.430,0,1,3641.6,3
30740000001D884000000009,2019/05/16 14:16:05.430,0,1,2011.5,3
30740000001D88400000000C,2019/05/16 14:16:05.430,0,1,2192.3,3
30740000001D884000000007,2019/05/16 14:16:05.430,1,1,3782.9,3
30740000001D884000000004,2019/05/16 14:16:05.430,0,1,3137.3,3
30740000001D884000000014,2019/05/16 14:16:05.431,1,1,4125.1,3
30740000001D88400000000A,2019/05/16 14:16:05.453,1,1,3911.7,3
30740000001D884000000003,2019/05/16 14:16:05.453,1,1,6087.2,3
30740000001D884000000003,2019/05/16 14:16:05.613,1,1,6430.9,3
30740000001D88400000000C,2019/05/16 14:16:05.613,0,1,2271.8,3
30740000001D88400000000A,2019/05/16 14:16:05.613,1,1,3656.5,3
30740000001D884000000013,2019/05/16 14:16:05.613,1,1,4451.0,3
30740000001D884000000012,2019/05/16 14:16:05.613,0,1,3182.2,3
30740000001D884000000009,2019/05/16 14:16:05.613,0,1,2135.3,3
30740000001D884000000010,2019/05/16 14:16:05.613,0,1,3770.2,3
30740000001D884000000007,2019/05/16 14:16:05.613,1,1,3901.0,3
30740000001D884000000004,2019/05/16 14:16:05.613,0,1,3186.1,3
30740000001D884000000014,2019/05/16 14:16:05.645,1,1,4232.9,3
30740000001D884000000011,2019/05/16 14:16:05.645,1,1,2919.8,3
30740000001D884000000003,2019/05/16 14:16:05.834,1,1,6134.5,3
30740000001D88400000000C,2019/05/16 14:16:05.834,0,1,2295.3,3
30740000001D88400000000A,2019/05/16 14:16:05.834,1,1,3968.0,3
30740000001D884000000013,2019/05/16 14:16:05.834,1,1,4487.3,3
30740000001D884000000012,2019/05/16 14:16:05.834,0,1,2927.6,3
30740000001D884000000011,2019/05/16 14:16:05.834,1,1,3088.9,3
30740000001D884000000009,2019/05/16 14:16:05.834,0,1,1945.5,3
30740000001D884000000010,2019/05/16 14:16:05.835,0,1,3620.9,3
30740000001D884000000007,2019/05/16 14:16:05.835,1,1,3825.0,3
30740000001D884000000004,2019/05/16 14:16:05.835,0,1,2995.9,3
30740000001D884000000014,2019/05/16 14:16:05.897,1,1,4180.7,3
30740000001D884000000003,2019/05/16 14:16:05.992,1,1,5947.6,3
30740000001D88400000000C,2019/05/16 14:16:05.992,0,1,2371.6,3
30740000001D88400000000A,2019/05/16 14:16:05.992,1,1,3938.9,3
30740000001D884000000014,2019/05/16 14:16:05.993,1,1,4296.6,3
30740000001D884000000013,2019/05/16 14:16:05.993,1,1,4493.6,3
30740000001D884000000012,2019/05/16 14:16:05.993,0,1,2934.7,3
30740000001D884000000009,2019/05/16 14:16:05.993,0,1,2015.2,3
30740000001D884000000010,2019/05/16 14:16:05.993,0,1,3643.4,3
30740000001D884000000004,2019/05/16 14:16:05.993,0,1,3043.6,3
30740000001D884000000011,2019/05/16 14:16:06.045,1,1,3134.9,3
30740000001D884000000007,2019/05/16 14:16:06.045,1,1,3882.3,3
30740000001D88400000000C,2019/05/16 14:16:06.225,0,1,2139.5,3
30740000001D88400000000A,2019/05/16 14:16:06.225,1,1,3690.5,3
30740000001D884000000014,2019/05/16 14:16:06.225,1,1,4222.1,3
30740000001D884000000013,2019/05/16 14:16:06.225,1,1,4456.1,3
30740000001D884000000012,2019/05/16 14:16:06.225,0,1,2971.2,3
30740000001D884000000009,2019/05/16 14:16:06.225,0,1,2057.4,3
30740000001D884000000010,2019/05/16 14:16:06.225,0,1,3674.8,3
30740000001D884000000007,2019/05/16 14:16:06.226,1,1,3715.3,3
30740000001D884000000004,2019/05/16 14:16:06.226,0,1,3156.4,3
30740000001D884000000011,2019/05/16 14:16:06.289,1,1,3088.3,3
30740000001D884000000003,2019/05/16 14:16:06.289,1,1,6166.8,3
30740000001D88400000000C,2019/05/16 14:16:06.414,0,1,2239.6,3
30740000001D88400000000B,2019/05/16 14:16:06.414,0,1,1649.6,3
30740000001D88400000000A,2019/05/16 14:16:06.414,1,1,3717.2,3
30740000001D884000000013,2019/05/16 14:16:06.414,1,1,4402.6,3
30740000001D884000000012,2019/05/16 14:16:06.414,0,1,3031.8,3
30740000001D884000000009,2019/05/16 14:16:06.415,0,1,2029.2,3
30740000001D884000000010,2019/05/16 14:16:06.415,0,1,4010.7,3
30740000001D884000000007,2019/05/16 14:16:06.415,1,1,3948.6,3
30740000001D884000000004,2019/05/16 14:16:06.415,0,1,3440.3,3
30740000001D884000000014,2019/05/16 14:16:06.447,1,1,4214.8,3
30740000001D884000000011,2019/05/16 14:16:06.447,1,1,2983.9,3
30740000001D884000000003,2019/05/16 14:16:06.447,1,1,6343.9,3
30740000001D884000000012,2019/05/16 14:16:06.572,0,1,3014.6,3
30740000001D884000000009,2019/05/16 14:16:06.572,0,1,2053.5,3
30740000001D884000000010,2019/05/16 14:16:06.572,0,1,3890.9,3
30740000001D88400000000C,2019/05/16 14:16:06.572,0,1,2107.4,3
30740000001D88400000000B,2019/05/16 14:16:06.572,0,1,1641.9,3
30740000001D88400000000A,2019/05/16 14:16:06.573,1,1,3676.6,3
30740000001D884000000004,2019/05/16 14:16:06.573,0,1,3271.7,3
